7th_yReal,7th_yArima,7th_yHolt,7th_yEnsembled
68128,67803.0,67803.0,67803
1019,1019.0,1019.0,1019
194,190.0,190.0,190
653,653.0,653.0,653
937,937.0,937.0,937
106,111.51811731288521,106.17083464434648,109
146,145.0,145.0,145
45,45.0,45.0,45
75,75.0,75.0,75
18,18.0,18.0,18
279,256.0,256.0,256
787,784.0,784.0,784
639,695.2334321334853,703.7054810656604,700
197,218.1386169449272,204.13747947366738,212
561,560.0,560.0,560
189,187.33445748086157,189.07430449597516,189
1,1.0,1.0,1
76,76.0,76.0,76
184,184.0,184.0,184
1268,1275.0,1272.5972169508423,1274
4356,4015.3619701070807,3880.2124617259597,3948
186,136.62612215845635,125.36548736562396,131
359,327.6695602822804,319.0552050869008,324
681,681.9999999999578,687.9484464067934,685
952,821.474818077404,816.3424883814861,819
1950,2062.6951306116343,2036.7960296766983,2050
712,712.0,712.0,712
1189,1134.3285256627007,1132.7338105469908,1134
790,903.8548588570083,890.1353721454277,897
7132,6843.58496271313,6827.76252991586,6836
185,184.0,184.0,184
11,11.0,11.0,11
7912,7871.000000000006,7928.619772850153,7900
974,858.3342046756529,942.9479735478103,901
5300,5166.157346981427,5083.028839645768,5125
10850,10473.132551139273,10101.09513072383,10288
3659,3616.078371177063,3584.6900120325427,3601
237,239.80033763911572,229.13403516675825,235
84,154.35185995343787,145.0564497739477,150
39,38.08261811210284,36.530270731206826,38
1559,1634.6925869009815,1614.4774207998848,1625
31,15.0,15.0,15
116,118.18751826243881,116.26445235026364,118
18,16.0,16.0,16
4129,3865.4537619361404,3855.167760129132,3861
97,86.0,86.0,86
57,55.0,55.0,55
148,149.18955099598318,149.45890622420498,150
326,256.7590283988152,257.20301951037345,257
18,18.0,18.0,18
410,391.0,391.0,391
6,6.0,6.0,6
38,43.21763364368283,41.48200346817367,43
164,169.29951491230423,160.8219343805665,166
155860,179836.6399373808,180199.9945716209,180019
166,162.77989116526857,122.49002203144897,143
10,9.0,9.0,9
416,410.5753204341176,416.18757750997406,414
150648,158511.0,157774.9484940249,158143
1154,955.9335809642689,918.0491199747722,937
2408,2383.6720112219396,2398.702631059393,2392
316,269.55384790478394,259.655479710334,265
761,716.6816772846516,715.8702422064799,717
67,75.19707075128785,67.48676343333005,72
62,57.69497601725096,56.539608850475915,58
9,8.0,8.0,8
510,517.2446276587903,494.08158248117644,506
2168,2152.31314682291,2036.9724650205994,2095
1785,1796.8160848670836,1793.4011160025466,1796
21370,20061.485372001007,18931.399381678326,19497
7418,7155.5346965170775,7170.352888767904,7163
85996,86973.0,86973.58359927862,86974
1631,1568.2525765835805,1559.12694470535,1564
16671,19625.532870948056,19282.67155599071,19455
14498,15801.132125506403,15606.866303926774,15704
187327,185538.31639160088,185879.28664424588,185709
233,364.9954532992127,260.37778815033397,313
11512,10885.717791864838,11059.757106796287,10973
435,437.7834258921941,432.55821319942913,436
2135,1847.0115327942806,1927.83267461372,1888
303,289.45898425324475,284.97295317164014,288
10694,10994.300847500426,10795.700910039504,10896
2248,1849.496994139073,1807.017001224744,1829
612,645.4151957732613,630.659156619182,639
761,704.8563300000956,680.8910680999438,693
682,741.8648596686138,729.0177543173558,736
101,59.0,59.0,59
81,79.0,79.0,79
1370,1207.2349782658441,1194.0186627947412,1201
3654,3670.6655364305666,3642.4025613965837,3657
121,123.83975053273547,124.92079134081524,125
5532,6023.960823995382,5972.063884308327,5999
86,25.192499835574484,26.72889836498677,26
444,506.1170612522937,440.3183774654734,474
7,7.0,7.0,7
329,324.0,324.0,324
9501,8156.7168132058405,8038.5427684821825,8098
2778,3023.75963948693,3033.6958166744143,3029
94,93.0,93.0,93
35,38.1004554995849,40.57236073570926,40
315,302.0243629310979,332.5855956909602,318
3446,2976.000000000035,2960.0802870595526,2969
16,16.0,16.0,16
45,21.912270076546292,21.229422862022783,22
100,97.55173265602932,97.57651463182108,98
14,14.0,14.0,14
71,48.178657950754605,57.071812873408675,53
34842,33291.00000000003,33290.81146484862,33291
1451,1525.8453538056372,1517.5640945410062,1522
