7th_yReal,7th_yArima,7th_yHolt,7th_yEnsembled
27,39.54721179075855,39.54721179075855,39.54721179075855
75,75.0,75.0,75.0
18,18.0,18.0,18.0
253,253.0,253.0,253.0
766,767.6965217952932,767.6965217952932,767.6965217952932
533,563.6396755657067,563.6396755657067,563.6396755657067
142,153.66734904003556,153.66734904003556,153.66734904003556
558,569.8460628207081,569.8460628207081,569.8460628207081
179,185.29526332650227,185.29526332650227,185.29526332650227
1,1.0,1.0,1.0
73,73.0,73.0,73.0
180,187.72605119293314,187.72605119293314,187.72605119293314
1256,1277.3452710952995,1277.3452710952995,1277.3452710952995
927,1287.5362893738547,1287.5362893738547,1287.5362893738547
16,16.0,16.0,16.0
47,70.29701545475389,70.29701545475389,70.29701545475389
196,404.485645801993,404.485645801993,404.485645801993
359,600.088303937557,600.088303937557,600.088303937557
883,1290.3252736393645,1290.3252736393645,1290.3252736393645
645,645.0,645.0,645.0
365,592.307567302058,592.307567302058,592.307567302058
98,98.0,98.0,98.0
2152,3792.124207992718,3792.124207992718,3792.124207992718
178,178.0,178.0,178.0
11,11.0,11.0,11.0
5384,8043.704104275985,8043.704104275985,8043.704104275985
252,804.0000000000271,804.0000000000271,804.0000000000271
9,10.22653726166407,10.22653726166407,10.22653726166407
581,1202.5307672152335,1202.5307672152335,1202.5307672152335
1328,1932.3879153196006,1932.3879153196006,1932.3879153196006
1004,1440.8951195581792,1440.8951195581792,1440.8951195581792
67,117.8441278606896,117.8441278606896,117.8441278606896
7,7.0,7.0,7.0
6,6.0,6.0,6.0
192,262.73214631625063,262.73214631625063,262.73214631625063
8,8.0,8.0,8.0
21,27.298972962315524,27.298972962315524,27.298972962315524
8,11.710610255796222,11.710610255796222,11.710610255796222
2000,2000.0,2000.0,2000.0
84,118.29845401649108,118.29845401649108,118.29845401649108
36,49.120329847411945,49.120329847411945,49.120329847411945
76,96.22359569862948,96.22359569862948,96.22359569862948
73,73.0,73.0,73.0
125,162.89685734021884,162.89685734021884,162.89685734021884
17,17.0,17.0,17.0
238,238.0,238.0,238.0
6,6.0,6.0,6.0
19,19.0,19.0,19.0
42088,54159.257974279775,54159.257974279775,54159.257974279775
24,46.48677995903161,46.48677995903161,46.48677995903161
2,2.0,2.0,2.0
111,151.04006149216258,151.04006149216258,151.04006149216258
103300,137085.965408591,137085.965408591,137085.965408591
99,99.0,99.0,99.0
6,6.0,6.0,6.0
577,577.0,577.0,577.0
30,50.84048581995717,50.84048581995717,50.84048581995717
170,343.1032964541806,343.1032964541806,343.1032964541806
3,3.0,3.0,3.0
9,9.0,9.0,9.0
2,2.0,2.0,2.0
2,2.0,2.0,2.0
31,45.830113659596414,45.830113659596414,45.830113659596414
390,628.7494540542265,628.7494540542265,628.7494540542265
1509,1860.8663779905385,1860.8663779905385,1860.8663779905385
5012,9326.1219082659,9326.1219082659,9326.1219082659
960,1564.1398632693677,1564.1398632693677,1564.1398632693677
64843,81131.34406154203,81131.34406154203,81131.34406154203
1171,1511.255804657296,1511.255804657296,1511.255804657296
9233,9233.0,9233.0,9233.0
5611,10102.80836194886,10102.80836194886,10102.80836194886
57576,79890.18405195152,79890.18405195152,79890.18405195152
28,36.83479495456422,36.83479495456422,36.83479495456422
1494,2363.4270427249303,2363.4270427249303,2363.4270427249303
318,398.35667465068406,398.35667465068406,398.35667465068406
560,947.3551054870437,947.3551054870437,947.3551054870437
89,144.15700021037347,144.15700021037347,144.15700021037347
8501,9488.71836006594,9488.71836006594,9488.71836006594
498,883.783862773643,883.783862773643,883.783862773643
302,724.0503761430109,724.0503761430109,724.0503761430109
133,133.0,133.0,133.0
140,199.07848150246969,199.07848150246969,199.07848150246969
20,27.622992067727193,27.622992067727193,27.622992067727193
15,15.0,15.0,15.0
55,55.0,55.0,55.0
399,712.9200085324941,712.9200085324941,712.9200085324941
728,728.0,728.0,728.0
58,94.55372409296783,94.55372409296783,94.55372409296783
3542,4256.814947612709,4256.814947612709,4256.814947612709
16,16.0,16.0,16.0
77,158.87299887401983,158.87299887401983,158.87299887401983
204,374.84571024606555,374.84571024606555,374.84571024606555
6,6.0,6.0,6.0
266,391.43369671426433,391.43369671426433,391.43369671426433
2627,2627.0,2627.0,2627.0
661,1240.0626272686404,1240.0626272686404,1240.0626272686404
35,57.940323221911456,57.940323221911456,57.940323221911456
9,11.69605451999474,11.69605451999474,11.69605451999474
123,203.36533824244057,203.36533824244057,203.36533824244057
456,734.5236768543496,734.5236768543496,734.5236768543496
