7th_yReal,7th_yArima,7th_yHolt,7th_yEnsembled
147,147.0,147.0,147
168,168.0,168.0,168
328,328.0,328.0,328
928,997.870666295795,1013.2148220568992,1006
1276,1276.0,1276.0,1276
1035,1057.345062960546,1068.3965115594297,1063
68128,68128.0,68128.0,68128
1019,1019.0,1019.0,1019
194,194.0,194.0,194
653,653.0,653.0,653
937,937.0,937.0,937
108,119.28778680327395,115.86299036656736,118
146,146.0,146.0,146
45,45.0,45.0,45
75,75.0,75.0,75
18,18.0,18.0,18
279,364.1111701228108,318.53016522790824,342
787,787.0,787.0,787
641,675.3675372680725,667.4341552836809,672
197,197.0,197.0,197
561,561.0,561.0,561
189,189.0,189.0,189
1,1.0,1.0,1
76,76.0,76.0,76
184,184.0,184.0,184
1268,1268.0,1268.0,1268
4561,6186.86428646666,6121.274312615572,6155
186,269.2631272482866,261.1154532687718,266
377,497.5676379630464,490.32390202471055,494
686,743.5476970193213,740.5005159928908,743
1004,1372.8499924806829,1347.0616845791499,1360
1981,2277.7760992248304,2266.2040840686423,2272
712,712.0,712.0,712
1235,1635.3905534179153,1620.747316703183,1629
795,849.8799769121666,847.9221650557882,849
7187,7970.1644809140025,7837.734623577022,7904
187,196.94755989425013,192.10248640740144,195
11,11.0,11.0,11
8073,9360.999999999956,9383.766565346501,9373
986,1263.6253428215218,1224.2925667481566,1244
5543,7527.724109030399,7354.467582188241,7442
11183,14687.650790353653,14193.166381048368,14441
3891,5514.376647049998,5483.822698583099,5500
250,347.4537323698026,344.208174483427,346
84,120.66543765802885,113.2653463566084,117
39,39.0,39.0,39
1592,1781.6288151340939,1766.4169456346135,1775
31,31.0,31.0,31
116,121.8123383882948,132.69186218577332,128
18,18.0,18.0,18
4284,5420.769582091456,5442.115800304669,5432
107,132.93385597370727,124.16300130030436,129
57,61.26628369697769,60.73448324195462,62
148,148.0,148.0,148
326,488.136867610123,461.48266176077846,475
18,18.0,18.0,18
412,421.43740553657295,421.08232312256246,422
6,6.0,6.0,6
38,40.93734564554371,41.932737883748715,42
164,171.28471999154283,170.3925949990189,171
157026,189166.14376018968,175011.12312322465,182089
167,284.9464203403,278.55230827107414,282
10,10.0,10.0,10
425,523.3917959926944,484.8869040481712,505
153129,168448.43932825432,172784.14912436137,170617
1154,1604.4614341110948,1591.935670166516,1599
2463,2846.539666413695,2860.913553528133,2854
384,662.6515520744907,628.0951400863382,646
862,1622.204353951919,1553.4876676512397,1588
70,88.9083371983827,86.00037540537264,88
72,105.34276717183572,115.76803479793871,111
9,9.0,9.0,9
519,628.8187369320544,624.3853574199914,627
2284,3101.8557695507525,3089.131966977169,3096
1789,1833.2068687238816,1830.7261558310884,1832
