,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20
91,6443.416287,6546.48915,6640.587874,6726.203808,6803.817768,6873.895966,6936.887191
92,195.248277,196.4863805,197.6455548,198.7303409,199.7450937,200.6939771,201.5809613
93,12.85199873,13.01535426,13.16859861,13.31228545,13.44694932,13.57310434,13.69124337
94,7241.830008,7516.456854,7789.12014,8059.290356,8326.463552,8590.163582,8849.944008
95,498.1546135,593.3106435,704.9257899,835.5531342,988.0940899,1165.829593,1372.44808
96,3749.108277,3964.201609,4183.177874,4405.68285,4631.3411,4859.758407,5090.524496
97,9041.027168,9673.982651,10339.12886,11037.77702,11771.28162,12541.04042,13348.4953
98,2679.540464,2852.072632,3030.296302,3213.991699,3402.912333,3596.786402,3795.318425
99,171.1583974,181.5153765,191.5740034,201.3003568,210.6696643,219.6649504,228.2758062
100,56.36734848,68.03956452,81.11329093,95.64995793,111.7195587,129.3970878,148.7612758
101,37.73120766,38.39000955,39.01330107,39.60216944,40.15781617,40.68152288,41.1746231
102,1486.859498,1527.137244,1567.086233,1606.674677,1645.875733,1684.666874,1723.029318
103,13.84099637,14.05828715,14.26692479,14.46716851,14.65928285,14.84353511,15.02019319
104,89.50717802,93.93487766,98.29328691,102.5674765,106.7443499,110.8126547,114.7629535
105,18.00826291,18.40483757,18.78218874,19.1405506,19.48028862,19.80187108,20.105845
106,3515.877275,3672.509411,3832.550834,3996.052207,4163.06463,4333.639582,4507.828876
107,94.58904737,96.67538528,98.64624893,100.5060851,102.2594951,103.9111621,105.4657915
108,56.85020473,57.67166127,58.4429463,59.16671319,59.84553946,60.48191726,61.07824662
109,160.7577549,162.7775245,164.6715355,166.4467843,168.1100071,169.6676666,171.1259454
110,231.4533185,237.63814,243.4834786,249.001098,254.2035507,259.1039026,263.7155064
111,21.15252838,21.42232117,21.6754477,21.91282043,22.13532,22.3437932,22.53905163
112,440.7427963,448.9004774,456.570754,463.7771907,470.543111,476.8914211,482.844472
113,6.633281321,6.690707865,6.74458417,6.79511113,6.842481027,6.88687745,6.928475316
114,37.46841945,38.27877448,39.04287593,39.7626649,40.44011786,41.07722081,41.67594851
115,177.6021099,180.1919706,182.6230795,184.9038743,187.0425469,189.0470141,190.9248966
116,141134.5554,149403.2698,158018.4966,166991.6267,176334.1941,186057.8572,196174.3747
117,97.08597812,122.0488052,151.0116038,183.9884383,221.158017,262.7654143,309.0854418
118,9.63383103,10.26845217,10.93995217,11.650346,12.40174422,13.19635557,14.03648946
