,day1,day2,day3,day4,day5,day6,day7
338,7.427288742812571,7.5760592625472984,7.726927011111424,7.879921543356438,8.03507283731038,8.192411295888245,8.351967750886056
339,0.13633439163539937,0.13812346860986563,0.13983762771188676,0.1414796054083011,0.14305209847966813,0.14455775421720132,0.14599916266835364
340,3.211542800910716,3.213021105474094,3.214401701283658,3.215691034209633,3.2168951265733283,3.2180196047272043,3.2190697247386297
341,3.2600030314530666,3.2614507520562754,3.2628030644256887,3.2640662450321156,3.2652461589835986,3.266348286780729,3.26737774927977
342,0.13633439163539937,0.13812346860986563,0.13983762771188676,0.1414796054083011,0.14305209847966813,0.14455775421720132,0.14599916266835364
343,3.2591961164348455,3.2621463009917293,3.264899616986528,3.2674691535442437,3.269867136250316,3.272104983463385,3.274193358525458
344,2.2137075070293015,2.2156111528833624,2.2173876877234195,2.2190455701334995,2.2205926998734364,2.2220364543450173,2.2233837225971107
345,1.1076850024503788,1.1086667508768469,1.1095828383309294,1.110437640973569,1.1112352455197336,1.1119794680657007,1.1126738716638487
346,185.77441741450812,279.82545960701407,405.6631668877736,559.0845458162494,740.0848584626591,950.3249807402821,1192.2176897065071
347,6.161701836395778,6.4247212704249845,6.67681396612391,6.917766757083128,7.147510353506212,7.366093029364196,7.5736578662343526
348,23.680958816044715,24.333157388580563,24.950340748273337,25.533580019630058,26.084057353570827,26.603032835706763,27.091817091343234
349,3.215046278329472,3.2647287115400276,3.3123021674037116,3.357843894444002,3.4014301638222655,3.4431359581176673,3.4830347222982163
350,6.800608968942492,7.471913704456744,8.165792453466672,8.87366389528618,9.587713945061562,10.301074886313856,11.00787820559859
351,36.35346726052529,39.216141626738725,41.61805333569887,43.57609242741137,45.45079865707086,47.3256102164687,49.198321369496625
352,11.629517791473367,11.695296739010937,11.758096466411645,11.817972207641274,11.874978776867637,11.929170543071564,11.980601367932849
353,25.31215696295712,27.04695848274131,28.744811142638646,30.397599191020007,31.99905256177419,33.54450232256097,35.030649353796825
354,12.258940439989004,12.440711264932904,12.611931642211163,12.773059305768797,12.92455787543204,13.066891218781794,13.200518929542024
355,200.14456151468985,242.36804696441305,294.53667541835546,354.50494315294964,421.67260006539027,496.00726940036446,577.6878542596384
356,0.00046944499568730405,0.0004694929656505036,0.0004695377200015576,0.0004695794732545603,0.00046961842688007837,0.00046965476927962927,0.0004696886746665201
357,0.00046944499568730405,0.0004694929656505036,0.0004695377200015576,0.0004695794732545603,0.00046961842688007837,0.00046965476927962927,0.0004696886746665201
358,315.8909118679703,325.6371572277891,334.8831743470539,343.6386100797561,351.9159411615264,359.7298016875802,367.09641875746206
359,2.4374563002231704,3.1845067601417854,9.12343538511185,19.937139775337922,34.78240647006718,53.673084280039404,76.96955551242317
360,208.93178821391686,223.89810129904657,239.50381335791153,255.76507120486363,272.6981751779192,290.319560834056,308.64578059117304
361,410.857971067131,429.23190706190104,446.9700585764285,464.055041627478,480.47760551726986,496.2352376998264,511.33095873018124
362,200.39463636144552,212.8504124983712,225.312058018809,237.72357166675258,250.03233651437534,262.18971691952,274.1514956926646
363,7.266830352220374,7.636125499131887,7.9925105350754775,8.335200904071751,8.663684365277883,8.977676563473937,9.277081662855132
364,0.02650446516416228,0.026560627483722215,0.026613250927253806,0.026662555786676347,0.026708749027040096,0.026752025042136536,0.02679256636248102
